"rasp4","location"
-33.3429,1.1
-14.3553,1.2
-17.6538,1.3
-11.6782,1.4
-18.3163,1.5
0.0128,10.1
-13.9398,10.2
-2.8182,10.3
-8.7791,10.4
-9.5114,10.5
-21.9400,2.1
-27.1961,2.2
-20.5745,2.3
-14.0909,2.4
-23.1212,2.5
-28.0000,3.1
-24.0886,3.2
-22.4828,3.3
-24.0156,3.4
-23.3736,3.5
-22.2469,4.1
-17.8095,4.2
-16.7119,4.3
-16.1538,4.4
-20.2738,4.5
-23.5641,5.1
-22.8750,5.2
-19.2667,5.3
-17.5556,5.4
-15.7889,5.5
-13.5645,6.1
-16.2300,6.2
-12.1273,6.3
-18.0600,6.4
-10.3714,6.5
-15.1591,7.1
-9.2500,7.2
-7.8276,7.3
-12.2651,7.4
-18.6582,7.5
-15.8810,8.1
-8.7176,8.2
-7.9639,8.3
-13.5275,8.4
-10.7429,8.5
-0.8462,9.1
-0.9750,9.2
-11.9625,9.3
-9.4146,9.4
-7.1930,9.5
