"rasp1","rasp2","rasp3","rasp4","location"
-49.5,-61.5,-85,-92.5,1.1
-71.9493464052288,-57.2982026143791,-83.6364379084967,-83.8333333333333,1.2
-71,-65,-85,-82,1.3
-62.8130841121495,-47,-75.0841121495327,-89.8691588785047,1.4
-68,-40,-90,-85,1.5
-65.180649526387,-63.4073071718539,-76.6617050067659,-87.4519621109608,2.1
-60.5096359743041,-67.5385438972163,-77.6284796573876,-79.8950749464668,2.2
-65.125,-69.75,-76.125,-87.75,4.2
-70,-70,-69,-80,4.3
-82.906674907293,-74.5908529048208,-76.4616810877627,-86.0970333745365,4.4
-67.8113291045877,-68.7645670452869,-75.708732851453,-85.0725033190736,4.5
-72.4415954415954,-67.7008547008547,-88.1851851851852,-82.1794871794872,5.1
-66.1649214659686,-65.6492146596859,-73.0628272251309,-88.6544502617801,5.2
-67.9230769230769,-69.4615384615385,-67.9230769230769,-71.7692307692308,5.3
-73.3805732484076,-65.8312101910828,-79.0525477707006,-84.0668789808917,5.4
-70.7994301994302,-65.5019943019943,-86.3555555555556,-81.1384615384615,5.5
-89.5,-70.3333333333333,-81.5,-1,6.1
-71,-64,-80.8,-79.6,6.2
-69.727857083229,-72.0172802404207,-79.3185992152934,-87.4919024960347,6.3
-68.7585119798235,-68.1391340899538,-76.7721731820093,-83.6078184110971,6.4
-70.2857142857143,-68.7142857142857,-67.8571428571429,-80.7142857142857,6.5
-81,-70,-72,-72,7.1
-72,-68,-72.6666666666667,-71.6666666666667,7.2
-79,-76,-63,-70.5,7.3
-66.5581300813008,-75.7817886178862,-66.940162601626,-77.9360975609756,7.4
-77.1364172603113,-72.004764281501,-75.4727982213349,-85.2373973410772,7.5
-85.9764764764765,-74.7757757757758,-70.529029029029,-72.2517517517518,8.1
-65.74154621403,-66.5040445564249,-65.9161914865402,-70.8757459222915,8.2
-71.8261780104712,-73.9065445026178,-76.2992146596859,-70.2764397905759,8.3
-64.3333333333333,-73.3333333333333,-59,-69.6666666666667,8.4
-76,-72,-84,-82,8.5
-83.8657243816254,-76.0035335689046,-76.2014134275618,-62.8586572438163,9.1
-69.732627042557,-73.3205243311187,-68.3149578021189,-62.4171305440833,9.2
-83.1000524750743,-72.188560433794,-70.5478397761063,-71.3727479447263,9.3
-74.4838373305527,-68.7786861313869,-62.7383107403545,-78.8963086548488,9.4
-81.5604779618983,-76.9203021079923,-66.4931800247999,-81.6352158719423,9.5
-83,-76.2857142857143,-82.1428571428571,-62.4285714285714,10.1
-65,-66,-67,-59,10.2
-73.6666666666667,-71.6666666666667,-67.3333333333333,-76.6666666666667,10.3
-80.0374209416725,-78.364722417428,-60.0497189037245,-76.7048489107519,10.4
-79.2829354553492,-77.2245800176835,-56.0636604774536,-78.920424403183,10.5
