mac address, rasp, RX, timestamp
88:C9:D0:1F:3E:48,1,-96,12:00:28
88:C9:D0:1F:3E:48,1,-94,12:02:35
DC:A9:04:4F:D9:36,1,-83,11:58:24
DC:A9:04:4F:D9:36,1,-74,11:58:38
DC:A9:04:4F:D9:36,1,-77,11:58:54
DC:A9:04:4F:D9:36,1,-91,11:59:14
DC:A9:04:4F:D9:36,1,-74,11:59:36
DC:A9:04:4F:D9:36,1,-82,12:00:16
DC:A9:04:4F:D9:36,1,-98,12:00:26
DC:A9:04:4F:D9:36,1,-74,12:00:42
DC:A9:04:4F:D9:36,1,-77,12:00:59
DC:A9:04:4F:D9:36,1,-75,12:01:22
DC:A9:04:4F:D9:36,1,-89,12:01:36
DC:A9:04:4F:D9:36,1,-83,12:01:46
DC:A9:04:4F:D9:36,1,-82,12:02:06
DC:A9:04:4F:D9:36,1,-79,12:02:20
DC:A9:04:4F:D9:36,1,-73,12:02:42
DC:A9:04:4F:D9:36,1,-93,12:02:50
DC:A9:04:4F:D9:36,1,-99,12:03:06
DC:A9:04:4F:D9:36,1,-87,12:03:22
DC:A9:04:4F:D9:36,1,-74,12:03:40
DC:A9:04:4F:D9:36,1,-95,12:03:47
DC:A9:04:4F:D9:36,1,-85,12:03:55
