rssi","tpl","lq","echo_time","bt_rx","wifi_rx","distance"
0.0132,12.0000,238.5888,125.7995066595705,-48.0625,-22.538461538,0
-0.0319,12.0000,205.6837,116.3737380131365,-62.13636363636363,-46.434426229,1
-1.5764,12.0000,186.9299,111.55165636767248,-60.72,-60.134615384,2
-4.1214,12.0000,172.9137,115.80092684986492,-66.95454545454545,-63.046728971,3
-8.1262,12.0000,222.1586,115.94537230216956,-68.2,-65.994047619,4
-12.9251,12.0000,236.1401,120.32387606561767,-73.76190476190476,-66.285714285,5
-19.1608,12.0000,216.0643,122.51093294229538,-81.52173913043478,-81,6
-21.7942,12.0000,228.0836,121.27192940512654,-84.625,-70,7
-22.9290,12.0000,182.2000,121.95925816720532,-83.04761904761905,-73,8
-21.1420,12.0000,236.7129,98.13861179050963,-85.2,-76,9
-23.8949,12.0000,236.9618,112.09366236826416,-86.18181818181819,-80,10
