"rasp1","rasp2","rasp3","rasp4","location","device"
-67.5986,-71.1032,-83.5181,-91.7776,"(1,16)","LG"
-44.5576,-58.2103,-75.6285,-84.0279,"(3,18)","S"
-65.5698,-57.9744,-73.1944,-84.8966,"(7,17)","S3"
-78.5541,-73.0395,-71.9329,-84.7242,"(1,11)","TAB"
-65.1968,-61.4055,-64.7560,-69.9794,"(4,9)","IPAD"
-76.2429,-70.2078,-71.2172,-75.6484,"(3,14)","LG"
-66.8362,-47.0979,-68.2879,-80.7233,"(7,14)","S"
-84.4715,-66.1298,-82.1815,-70.6931,"(2,5)","S3"
-73.2500,-65.2751,-71.8301,-77.4973,"(6,11)","TAB"
-67.0307,-67.2745,-73.1325,-66.1086,"(2,5)","IPAD"
-70.8460,-73.9808,-71.7366,-79.3676,"(8,7)","LG"
-77.7797,-73.8426,-48.2191,-61.9675,"(8,2)","S"
-80.0694,-73.3917,-56.8605,-69.2857,"(5,0)","S3"
-72.4162,-71.4208,-64.4226,-64.3447,"(3,7)","TAB"
-72.8848,-70.7097,-63.5971,-51.9083,"(1,1)","IPAD"
